uid,spotify_id,name,artist,year,decade,popularity,energy,valence,danceability,acousticness,instrumentalness,speechiness,mds_x,mds_y,energy_band,contrast
2zsSadFqIXyjhcwlxJIl1s,2zsSadFqIXyjhcwlxJIl1s,Can Your Pussy Do the Dog?,The Cramps,1986,1980,36.0,0.98,0.273,0.279,0.0242,0.00127,0.173,0.5649215944024987,-0.25037997638490417,high,energetic_somber
6p3bhE5jahFtOk9QVNFnNY,6p3bhE5jahFtOk9QVNFnNY,Death at One's Elbow - 2011 Remaster,The Smiths,1987,1980,45.0,0.965,0.625,0.631,0.0718,3.74e-06,0.0627,0.6435537574109418,-0.0693126337848099,high,other
37u4N8Nje0UIJINbW7QULX,37u4N8Nje0UIJINbW7QULX,Overture,"Andrew Lloyd Webber, Phantom Of The Opera Original London Cast",1987,1980,41.0,0.362,0.0781,0.224,0.00451,0.245,0.0398,0.13546205399343253,-0.3870149697872193,middle,other
3uBV7qO7PSMatjXySYy6eo,3uBV7qO7PSMatjXySYy6eo,Give Me All Your Love - 2018 Remaster,Whitesnake,1987,1980,35.0,0.936,0.152,0.196,0.000895,0.000109,0.113,0.5230367835868814,-0.30582007086794316,high,energetic_somber
06kqVxin2I9UDejcTUFqIl,06kqVxin2I9UDejcTUFqIl,Soft as Snow (But Warm Inside),My Bloody Valentine,1988,1980,33.0,0.87,0.394,0.345,0.000304,0.025,0.0954,0.5533447941255273,-0.21381056346474825,high,other
0mglqLULsaV6sIYnQpXSY7,0mglqLULsaV6sIYnQpXSY7,Half A World Away,R.E.M.,1991,1990,46.0,0.5920000000000001,0.355,0.417,0.421,0.000763,0.0273,0.10935853250146392,0.021661105432916928,middle,other
76p5d8BcoUNIibKjCqOAOg,76p5d8BcoUNIibKjCqOAOg,It's A Man's World,James Brown,1991,1990,37.0,0.28,0.25,0.7290000000000001,0.322,0.000202,0.0366,0.0520981719508562,0.10626663515120394,middle,other
0c25pdkvRhymYdm5Rf3XWh,0c25pdkvRhymYdm5Rf3XWh,Old Country,Mark Chesnutt,1992,1990,40.0,0.527,0.583,0.521,0.123,4.29e-05,0.0263,0.36421885263697584,0.01668600830435812,middle,other
5aVvVMwfFwu5JSoMFZojDE,5aVvVMwfFwu5JSoMFZojDE,Designer Music,Lipps Inc.,1992,1990,54.0,0.5589999999999999,0.8390000000000001,0.81,0.0142,0.026,0.0777,0.547656144408811,0.08885914430994929,middle,other
6ZIuoDs3i1KjKurJf9miSs,6ZIuoDs3i1KjKurJf9miSs,I Will Come To You,Hanson,1997,1990,52.0,0.723,0.344,0.4370000000000001,0.0884,3.91e-05,0.0471,0.42522107187074654,-0.12477922840678675,high,other
5HQGvCeyUbpRm0gQdP61pP,5HQGvCeyUbpRm0gQdP61pP,Thanks a Lot,Third Eye Blind,1997,1990,42.0,0.812,0.43,0.4370000000000001,0.0157,0.000103,0.0318,0.5415515830783134,-0.15150604204031276,high,other
1VjYFbXSqx9Ly9GxQVUXV1,1VjYFbXSqx9Ly9GxQVUXV1,Bittersweet,Fuel,1997,1990,40.0,0.914,0.345,0.513,0.000157,1.13e-06,0.0329,0.5963735827239275,-0.1881080384336863,high,other
2zee8Zcesqwnnwliw2Jy8M,2zee8Zcesqwnnwliw2Jy8M,I Belong To You,Lenny Kravitz,1998,1990,49.0,0.664,0.63,0.69,0.000447,0.0343,0.0542,0.5455643622797741,-0.03511729666173374,middle,other
5JbIiEY2Ttextq0Eoiw7qn,5JbIiEY2Ttextq0Eoiw7qn,深い森,Do As Infinity,2001,2000,54.0,0.674,0.349,0.38,0.014,4.39e-06,0.0314,0.44981761039112667,-0.1525524803687326,middle,other
75OrTolKEnimJj625JUIft,75OrTolKEnimJj625JUIft,Run Free,Hans Zimmer,2002,2000,53.0,0.578,0.174,0.219,0.0293,0.927,0.0615,-0.004730441732509055,-0.9644007956547642,middle,other
1AGMpKtewRCfXJ0yUZp4qn,1AGMpKtewRCfXJ0yUZp4qn,The Beach House,South Park Mexican,2002,2000,44.0,0.631,0.627,0.89,0.199,0.000479,0.149,0.42136270999967734,0.12767212879752607,middle,other
4t17C4ZGrXN59lg1Ut7COM,4t17C4ZGrXN59lg1Ut7COM,Unsung,Helmet,2004,2000,49.0,0.885,0.664,0.345,9.22e-05,0.00372,0.0862,0.6252107816527167,-0.12828957917154407,high,other
48T3AtfhOgz3euMEO2Z4hS,48T3AtfhOgz3euMEO2Z4hS,LDN,Lily Allen,2006,2000,47.0,0.607,0.898,0.6729999999999999,0.0142,4.15e-06,0.027000000000000003,0.5730384113851295,0.07723540440273444,middle,other
1AoZIZSOgkRlZrKXq2QduS,1AoZIZSOgkRlZrKXq2QduS,The Guillotine,Escape the Fate,2006,2000,51.0,0.947,0.0925,0.442,0.0127,2.58e-06,0.181,0.5428374004021396,-0.25674661415387695,high,energetic_somber
